DATE,FLIGHT_NUM,WAY,TEAM,NUMBER,START,END
20170620,7,Arrival,ASA,3,8:00:00,8:55:00
20170620,7,Arrival,POLY,2,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,8:00:00,8:55:00
20170620,7,Arrival,RZA,1,8:00:00,8:55:00
20170620,7,Arrival,POLY,1,7:55:00,8:25:00
20170620,11,Arrival,POLY,1,10:55:00,11:25:00
20170620,22,Departure,ASA,3,7:05:00,8:35:00
20170620,22,Departure,POLY,1,6:50:00,8:35:00
20170620,22,Departure,POLY,1,7:05:00,8:35:00
20170620,22,Departure,RZA,1,6:50:00,8:40:00
20170620,23,Arrival,ASA,2,5:30:00,6:25:00
20170620,23,Arrival,POLY,2,5:30:00,6:25:00
20170620,23,Arrival,RZA,1,5:30:00,6:25:00
20170620,27,Arrival,ASA,2,10:25:00,11:20:00
20170620,27,Arrival,POLY,2,10:25:00,11:20:00
20170620,27,Arrival,RZA,1,10:25:00,11:20:00
20170620,55,Arrival,ASA,3,7:30:00,8:25:00
20170620,55,Arrival,POLY,2,7:30:00,8:25:00
20170620,55,Arrival,POLY,1,7:30:00,8:25:00
20170620,55,Arrival,RZA,1,7:30:00,8:25:00
20170620,55,Arrival,POLY,1,7:25:00,7:55:00
20170620,65,Arrival,POLY,1,10:45:00,11:15:00
20170620,66,Departure,ASA,3,9:05:00,10:35:00
20170620,66,Departure,POLY,1,8:50:00,10:35:00
20170620,66,Departure,POLY,1,9:05:00,10:35:00
20170620,66,Departure,RZA,1,8:50:00,10:40:00
20170620,66,Departure,POLY,2,10:10:00,10:30:00
20170620,83,Arrival,POLY,1,10:30:00,11:00:00
20170620,84,Departure,ASA,3,8:55:00,10:25:00
20170620,84,Departure,POLY,1,8:40:00,10:25:00
20170620,84,Departure,POLY,1,8:55:00,10:25:00
20170620,84,Departure,RZA,1,8:40:00,10:30:00
20170620,84,Departure,POLY,2,10:00:00,10:20:00
20170620,107,Arrival,ASA,2,5:40:00,6:35:00
20170620,107,Arrival,POLY,2,5:40:00,6:35:00
20170620,107,Arrival,RZA,1,5:40:00,6:35:00
20170620,149,Arrival,ASA,2,6:05:00,7:00:00
20170620,149,Arrival,POLY,2,6:05:00,7:00:00
20170620,149,Arrival,RZA,1,6:05:00,7:00:00
20170620,167,Arrival,ASA,2,7:35:00,8:30:00
20170620,167,Arrival,POLY,2,7:35:00,8:30:00
20170620,167,Arrival,RZA,1,7:35:00,8:30:00
20170620,178,Departure,ASA,3,9:45:00,11:15:00
20170620,178,Departure,POLY,1,9:30:00,11:15:00
20170620,178,Departure,POLY,1,9:45:00,11:15:00
20170620,178,Departure,RZA,1,9:30:00,11:20:00
20170620,178,Departure,POLY,2,10:50:00,11:10:00
20170620,185,Arrival,ASA,2,5:40:00,6:35:00
20170620,185,Arrival,POLY,2,5:40:00,6:35:00
20170620,185,Arrival,RZA,1,5:40:00,6:35:00
20170620,191,Arrival,ASA,3,8:05:00,10:25:00
20170620,191,Arrival,POLY,2,8:05:00,10:25:00
20170620,655,Arrival,POLY,2,5:55:00,6:50:00
20170620,655,Arrival,RZA,1,5:55:00,6:50:00
20170620,681,Arrival,ASA,2,7:35:00,8:30:00
20170620,681,Arrival,POLY,2,7:35:00,8:30:00
20170620,681,Arrival,RZA,1,7:35:00,8:30:00
20170620,682,Departure,ASA,3,9:20:00,10:50:00
20170620,682,Departure,POLY,1,9:05:00,10:50:00
20170620,682,Departure,POLY,1,9:20:00,10:50:00
20170620,682,Departure,RZA,1,9:05:00,10:55:00
20170620,703,Arrival,ASA,2,6:15:00,7:10:00
20170620,703,Arrival,POLY,2,6:15:00,7:10:00
20170620,703,Arrival,RZA,1,6:15:00,7:10:00
20170620,719,Arrival,ASA,2,5:55:00,6:50:00
20170620,719,Arrival,POLY,2,5:55:00,6:50:00
20170620,719,Arrival,RZA,1,5:55:00,6:50:00
20170620,719,Arrival,ASA,1,5:55:00,6:50:00
20170620,727,Arrival,ASA,2,5:40:00,6:35:00
20170620,727,Arrival,POLY,2,5:40:00,6:35:00
20170620,727,Arrival,RZA,1,5:40:00,6:35:00
20170620,775,Departure,ASA,3,9:05:00,10:35:00
20170620,775,Departure,POLY,1,8:50:00,10:35:00
20170620,775,Departure,POLY,1,9:05:00,10:35:00
20170620,775,Departure,RZA,1,8:50:00,10:40:00
20170620,805,Arrival,ASA,2,6:20:00,7:15:00
20170620,805,Arrival,POLY,2,6:20:00,7:15:00
20170620,805,Arrival,RZA,1,6:20:00,7:15:00
20170620,825,Arrival,ASA,2,10:30:00,11:25:00
20170620,825,Arrival,POLY,2,10:30:00,11:25:00
20170620,825,Arrival,RZA,1,10:30:00,11:25:00
20170620,830,Departure,ASA,3,9:25:00,10:55:00
20170620,830,Departure,POLY,1,9:10:00,10:55:00
20170620,830,Departure,POLY,1,9:25:00,10:55:00
20170620,830,Departure,RZA,1,9:10:00,11:00:00
20170620,833,Arrival,ASA,2,5:45:00,6:40:00
20170620,833,Arrival,POLY,2,5:45:00,6:40:00
20170620,833,Arrival,RZA,1,5:45:00,6:40:00
20170620,863,Arrival,ASA,2,7:40:00,8:35:00
20170620,863,Arrival,POLY,2,7:40:00,8:35:00
20170620,863,Arrival,RZA,1,7:40:00,8:35:00
20170620,888,Departure,ASA,3,9:15:00,10:45:00
20170620,888,Departure,POLY,1,9:00:00,10:45:00
20170620,888,Departure,POLY,1,9:15:00,10:45:00
20170620,888,Departure,RZA,1,9:00:00,10:50:00
20170620,889,Arrival,ASA,2,6:05:00,7:00:00
20170620,889,Arrival,POLY,2,6:05:00,7:00:00
20170620,889,Arrival,RZA,1,6:05:00,7:00:00
20170620,897,Arrival,ASA,2,6:15:00,7:10:00
20170620,897,Arrival,POLY,2,6:15:00,7:10:00
20170620,897,Arrival,RZA,1,6:15:00,7:10:00
20170620,901,Arrival,ASA,2,5:45:00,6:40:00
20170620,901,Arrival,POLY,2,5:45:00,6:40:00
20170620,901,Arrival,RZA,1,5:45:00,6:40:00
20170620,934,Departure,ASA,3,9:55:00,11:25:00
20170620,934,Departure,POLY,1,9:40:00,11:25:00
20170620,934,Departure,POLY,1,9:55:00,11:25:00
20170620,953,Arrival,ASA,2,6:15:00,7:10:00
20170620,953,Arrival,POLY,2,6:15:00,7:10:00
20170620,953,Arrival,RZA,1,6:15:00,7:10:00
20170620,958,Departure,ASA,3,9:25:00,10:55:00
20170620,958,Departure,POLY,1,9:10:00,10:55:00
20170620,958,Departure,POLY,1,9:25:00,10:55:00
20170620,958,Departure,RZA,1,9:10:00,11:00:00
20170620,976,Departure,ASA,3,9:15:00,10:45:00
20170620,976,Departure,POLY,1,9:00:00,10:45:00
20170620,976,Departure,POLY,1,9:15:00,10:45:00
20170620,976,Departure,RZA,1,9:00:00,10:50:00
